"id","userId","posterId","numStars","createdAt"
1,2,1881,4,"2024-03-10 12:00:00"
2,1,3050,1,"2024-03-12 14:15:00"
3,1,2974,2,"2024-03-10 12:00:00"
4,1,2788,4,"2024-03-10 12:00:00"
5,1,1710,5,"2024-03-13 16:45:00"
6,1,3861,1,"2024-03-11 09:30:00"
7,1,3894,5,"2024-03-13 16:45:00"
8,1,2201,1,"2024-03-14 10:05:00"
9,1,2354,4,"2024-03-11 09:30:00"
10,1,3871,3,"2024-03-14 10:05:00"
11,1,1742,5,"2024-03-14 10:05:00"
12,1,2603,1,"2024-03-14 10:05:00"
13,1,3856,1,"2024-03-14 10:05:00"
14,1,2963,5,"2024-03-13 16:45:00"
15,2,2870,5,"2024-03-13 16:45:00"
16,2,2380,2,"2024-03-11 09:30:00"
17,1,1691,5,"2024-03-12 14:15:00"
18,2,2532,4,"2024-03-12 14:15:00"
19,1,1790,5,"2024-03-13 16:45:00"
20,1,2530,2,"2024-03-13 16:45:00"
